,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed
0,2020-12-14,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,11.0,35.0,0.0,16468.0
1,2020-12-15,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,16.0,26.0,1.0,17645.0
2,2020-12-16,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592.0,30.0,7.0,2.0,19960.0
3,2020-12-17,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.0,25.0,14.0,-1.0,19672.0
4,2020-12-18,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,26.0,-4.0,3.0,18664.0
5,2020-12-19,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0,10.0,18.0,10.0,18156.0
6,2020-12-20,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.0,9.0,-17.0,-2.0,18499.0
7,2020-12-21,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,11.0,35.0,2.0,14366.0
8,2020-12-22,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.0,19.0,7.0,1.0,19445.0
9,2020-12-23,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,19.0,-6.0,15747.0
10,2020-12-24,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,0.0,18182.0
11,2020-12-25,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,0.0,0.0,14406.0
12,2020-12-26,AB,4792.0,0.0,0.0,0.0,4792.0,0.1,0.0,0.0,0.0,486.0,0.0,0.0,0.0,7110.0
13,2020-12-27,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,112.0,0.0,0.0,9892.0
14,2020-12-28,AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,26.0,57.0,2.0,11287.0
