,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed,Deaths
0,2020-12-14,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,49.0,17.0,0.0,6522.0,49.0
1,2020-12-15,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,21.0,2.0,6.0,15196.0,21.0
2,2020-12-16,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,24.0,1.0,-2.0,12095.0,24.0
3,2020-12-17,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,21.0,-4.0,2.0,11533.0,21.0
4,2020-12-18,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,11.0,-2.0,-1.0,11717.0,11.0
5,2020-12-19,BC,3634.0,0.0,0.0,0.0,3634.0,0.1,0.0,0.0,0.0,579.0,0.0,0.0,0.0,11067.0,0.0
6,2020-12-20,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,7175.0,0.0
7,2020-12-21,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,41.0,-15.0,-12.0,6577.0,41.0
8,2020-12-22,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,12.0,16.0,4.0,8518.0,12.0
9,2020-12-23,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,19.0,-9.0,-4.0,8854.0,19.0
10,2020-12-24,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,12.0,-7.0,-2.0,8026.0,12.0
11,2020-12-25,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,6106.0,0.0
12,2020-12-26,BC,8813.0,0.0,0.0,0.0,8813.0,0.1,0.0,0.0,0.0,331.0,0.0,0.0,0.0,3788.0,0.0
13,2020-12-27,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,4426.0,0.0
14,2020-12-28,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,4673.0,0.0
15,2020-12-29,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,74.0,32.0,2.0,6786.0,74.0
16,2020-12-30,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,11.0,6.0,-3.0,8005.0,11.0
17,2020-12-31,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,8.0,-5.0,-1.0,7668.0,8.0
18,2021-01-01,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,0.0,7262.0,0.0
19,2021-01-02,BC,12223.0,0.0,0.0,0.0,12223.0,0.3,0.0,0.0,0.0,414.0,0.0,0.0,0.0,4672.0,0.0
