,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed
0,2020-12-14,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,2.0,7.0,4.0,2455.0
1,2020-12-15,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,7.0,0.0,-1.0,2270.0
2,2020-12-16,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,4.0,2875.0
3,2020-12-17,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,7.0,2.0,-8.0,3171.0
4,2020-12-18,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,2.0,-5.0,-5.0,3328.0
5,2020-12-19,SK,1048.0,0.0,0.0,0.0,1048.0,0.1,0.0,0.0,0.0,252.0,8.0,6.0,3.0,3029.0
6,2020-12-20,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,3.0,-4.0,-1.0,2361.0
7,2020-12-21,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,4.0,8.0,1.0,2172.0
8,2020-12-22,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,3.0,-7.0,1.0,2531.0
9,2020-12-23,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,5.0,1.0,0.0,2394.0
10,2020-12-24,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,4.0,0.0,0.0,2422.0
11,2020-12-25,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0
12,2020-12-26,SK,734.0,0.0,0.0,0.0,734.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
13,2020-12-27,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,6.0,57.0,5.0,1239.0
14,2020-12-28,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1199.0
15,2020-12-29,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,10.0,-7.0,6.0,1475.0
16,2020-12-30,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,3.0,-24.0,0.0,2198.0
17,2020-12-31,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1.0,-9.0,-2.0,2735.0
18,2021-01-01,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2588.0
19,2021-01-02,SK,1758.0,0.0,0.0,0.0,1758.0,0.1,0.0,0.0,0.0,495.0,3.0,18.0,3.0,2103.0
20,2021-01-03,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,-8.0,5.0,1485.0
21,2021-01-04,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,2.0,28.0,-3.0,1779.0
22,2021-01-05,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,5.0,-14.0,-4.0,2094.0
23,2021-01-06,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,9.0,6.0,-2.0,2548.0
24,2021-01-07,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,3.0,4.0,0.0,3105.0
25,2021-01-08,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,7.0,4.0,-3.0,3049.0
26,2021-01-09,SK,1988.0,959.0,0.0,0.0,2947.0,0.2,0.1,0.0,0.0,329.0,7.0,-1.0,4.0,3222.0
27,2021-01-10,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2611.0
28,2021-01-11,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,8.0,18.0,1.0,1995.0
29,2021-01-12,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,4.0,-6.0,-2.0,2620.0
30,2021-01-13,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,2.0,14.0,7.0,3270.0
31,2021-01-14,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,1.0,-3.0,3455.0
32,2021-01-15,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,4.0,4.0,2.0,3071.0
33,2021-01-16,SK,8795.0,786.0,0.0,0.0,9581.0,0.7,0.0,0.0,0.0,270.0,2.0,-11.0,0.0,2332.0
34,2021-01-17,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,3.0,4.0,-2.0,2811.0
35,2021-01-18,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,4.0,7.0,-3.0,2929.0
36,2021-01-19,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,6.0,-3.0,1.0,2559.0
37,2021-01-20,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,4.0,0.0,0.0,2764.0
38,2021-01-21,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,13.0,-10.0,0.0,3148.0
39,2021-01-22,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,8.0,-20.0,-1.0,3252.0
40,2021-01-23,SK,9364.0,720.0,0.0,0.0,10084.0,0.8,0.1,0.0,0.0,274.0,3.0,20.0,5.0,2684.0
41,2021-01-24,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,3.0,-1.0,-3.0,2193.0
42,2021-01-25,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,1.0,6.0,0.0,2157.0
43,2021-01-26,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,14.0,6.0,1.0,2179.0
44,2021-01-27,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,6.0,12.0,3.0,2575.0
45,2021-01-28,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,11.0,-12.0,1.0,3100.0
46,2021-01-29,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,7.0,10.0,-4.0,3036.0
47,2021-01-30,SK,3548.0,613.0,0.0,0.0,4161.0,0.3,0.1,0.0,0.0,260.0,8.0,-12.0,-5.0,2459.0
48,2021-01-31,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,4.0,-3.0,3.0,1900.0
49,2021-02-01,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,2.0,-1.0,-1.0,1974.0
50,2021-02-02,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,8.0,36.0,3.0,2780.0
51,2021-02-03,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,8.0,-9.0,-3.0,2464.0
52,2021-02-04,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,7.0,-13.0,0.0,3317.0
53,2021-02-05,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,3.0,8.0,-2.0,3149.0
54,2021-02-06,SK,2547.0,2328.0,0.0,0.0,4875.0,0.2,0.2,0.0,0.0,263.0,4.0,-17.0,-1.0,2357.0
55,2021-02-07,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,3.0,4.0,1.0,2337.0
56,2021-02-08,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,2.0,3.0,2.0,1910.0
