"REF_DATE","GEO","DGUID","Gender","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by hospitalization status","Number","223","units","0","v1478293795","1.1.1.1","4257664","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, hospitalized","Number","223","units","0","v1478293796","1.1.1.2","235041","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","No, hospitalized","Number","223","units","0","v1478293797","1.1.1.3","1408215","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, hospitalized","Number","223","units","0","v1478293798","1.1.1.4","2614408","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by intensive care unit admittance","Number","223","units","0","v1478293799","1.1.1.5","4257664","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, intensive care unit","Number","223","units","0","v1478293800","1.1.1.6","34453","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","No, intensive care unit","Number","223","units","0","v1478293801","1.1.1.7","1608803","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, intensive care unit","Number","223","units","0","v1478293802","1.1.1.8","2614408","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by death status","Number","223","units","0","v1478293803","1.1.1.9","4257664","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, deceased","Number","223","units","0","v1478293804","1.1.1.10","36177","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","No, not deceased","Number","223","units","0","v1478293805","1.1.1.11","2646753","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, deceased","Number","223","units","0","v1478293806","1.1.1.12","1574734","","","","0"
