,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed,Deaths
0,2020-12-14,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,11.0,82.0,4.0,1595.0,11.0
1,2020-12-15,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,15.0,3.0,5.0,2445.0,15.0
2,2020-12-16,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,14.0,15.0,1.0,2263.0,14.0
3,2020-12-17,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,17.0,-20.0,-5.0,2238.0,17.0
4,2020-12-18,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,11.0,-6.0,2.0,2526.0,11.0
5,2020-12-19,MB,894.0,0.0,0.0,0.0,894.0,0.1,0.0,0.0,0.0,240.0,4.0,0.0,0.0,2331.0,4.0
6,2020-12-20,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,10.0,0.0,0.0,1980.0,10.0
7,2020-12-21,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,6.0,4.0,-1.0,1530.0,6.0
8,2020-12-22,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,15.0,-2.0,-5.0,2268.0,15.0
9,2020-12-23,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,9.0,-21.0,0.0,2247.0,9.0
10,2020-12-24,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,14.0,-13.0,-3.0,1744.0,14.0
11,2020-12-25,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,13.0,0.0,0.0,1336.0,13.0
12,2020-12-26,MB,1283.0,0.0,0.0,0.0,1283.0,0.1,0.0,0.0,0.0,198.0,5.0,0.0,0.0,1300.0,5.0
13,2020-12-27,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,12.0,-5.0,-6.0,1118.0,12.0
14,2020-12-28,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,5.0,2.0,2.0,1394.0,5.0
15,2020-12-29,MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,5.0,-5.0,-1.0,1210.0,5.0
