,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed
0,2020-12-14,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,32.0,31.0,-7.0,39566.0
1,2020-12-15,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,38.0,53.0,5.0,49189.0
2,2020-12-16,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.0,26.0,9.0,8.0,58178.0
3,2020-12-17,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2375.0,34.0,-16.0,5.0,68246.0
4,2020-12-18,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.0,42.0,-40.0,-4.0,67207.0
5,2020-12-19,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276.0,37.0,13.0,-7.0,69412.0
6,2020-12-20,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2338.0,35.0,3.0,6.0,54505.0
7,2020-12-21,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.0,38.0,43.0,3.0,45265.0
8,2020-12-22,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2551.0,47.0,63.0,8.0,56660.0
9,2020-12-23,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2216.0,40.0,-3.0,3.0,64592.0
10,2020-12-24,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922.0,47.0,-35.0,6.0,61465.0
11,2020-12-25,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2183.0,33.0,30.0,1.0,49511.0
12,2020-12-26,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.0,46.0,-15.0,9.0,41783.0
13,2020-12-27,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.0,42.0,53.0,-4.0,39565.0
14,2020-12-28,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741.0,39.0,93.0,12.0,34112.0
15,2020-12-29,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3192.0,49.0,40.0,9.0,39210.0
16,2020-12-30,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.0,48.0,62.0,18.0,63858.0
17,2020-12-31,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411.0,51.0,40.0,12.0,70570.0
18,2021-01-01,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3277.0,52.0,-1.0,1.0,61401.0
19,2021-01-02,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.0,42.0,18.0,-11.0,49803.0
20,2021-01-03,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.0,48.0,46.0,8.0,39121.0
21,2021-01-04,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140.0,56.0,57.0,3.0,35152.0
22,2021-01-05,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3324.0,52.0,45.0,20.0,51045.0
23,2021-01-06,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.0,52.0,45.0,6.0,65772.0
24,2021-01-07,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,49.0,3.0,1.0,71481.0
25,2021-01-08,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3823.0,47.0,24.0,12.0,72900.0
26,2021-01-09,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378.0,63.0,9.0,15.0,62308.0
27,2021-01-10,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.0,51.0,25.0,2.0,46403.0
28,2021-01-11,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.0,51.0,55.0,1.0,44802.0
