,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed
0,2020-12-14,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,34.0,10.0,-1.0,26203.0
1,2020-12-15,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.0,47.0,69.0,3.0,34814.0
2,2020-12-16,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.0,42.0,17.0,3.0,35838.0
3,2020-12-17,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,32.0,26.0,6.0,37640.0
4,2020-12-18,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.0,53.0,10.0,8.0,36016.0
5,2020-12-19,QC,4728.0,0.0,0.0,0.0,4728.0,0.1,0.0,0.0,0.0,2027.0,37.0,-7.0,0.0,32701.0
6,2020-12-20,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.0,34.0,6.0,5.0,27268.0
7,2020-12-21,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,39.0,38.0,0.0,28911.0
8,2020-12-22,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,39.0,7.0,-9.0,36098.0
9,2020-12-23,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2206.0,62.0,12.0,5.0,39419.0
10,2020-12-24,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2374.0,51.0,-15.0,4.0,33746.0
11,2020-12-25,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.0,42.0,-94.0,-8.0,25186.0
12,2020-12-26,QC,12488.0,0.0,0.0,0.0,12488.0,0.1,0.0,0.0,0.0,2320.0,47.0,-31.0,-5.0,18657.0
13,2020-12-27,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2058.0,50.0,157.0,15.0,19992.0
14,2020-12-28,QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240.0,49.0,39.0,1.0,22186.0
