"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-01-01,6251,6241,2,,32188,32133,32122,22,11,
2021-01-02,4613,4601,6,,36801,36682,36669,26,13,
2021-01-03,5393,5386,3,,42194,42068,42052,32,16,
2021-01-04,5994,5992,0,,48188,48059,48044,30,15,
2021-01-05,9681,9657,19,,57869,57714,57681,66,33,
2021-01-06,12792,12327,450,,70661,70037,69558,958,479,
2021-01-07,16217,15505,697,,86878,85541,84365,2352,1176,
2021-01-08,18037,17022,1002,,104915,102563,100385,4356,2178,
2021-01-09,19499,18422,1064,,124414,120984,117742,6484,3242,
2021-01-10,11369,11330,37,,135783,132305,129027,6556,3278,
2021-01-11,11710,11661,48,,147493,143966,140640,6652,3326,
2021-01-12,14467,14160,298,,161960,158118,154494,7248,3624,
2021-01-13,15435,13813,1593,,177395,171917,166702,10430,5215,
2021-01-14,19181,16730,2436,,196576,188641,180991,15300,7650,
2021-01-15,20046,17990,2037,,216622,206620,196933,19374,9687,
2021-01-16,17115,15932,1170,,233737,222536,211679,21714,10857,
2021-01-17,11255,10012,1236,,244992,232533,220442,24182,12091,
2021-01-18,6792,6710,72,,251784,239220,227060,24320,12160,
2021-01-19,11824,9716,2094,,263608,248915,234661,28508,14254,
2021-01-20,10799,7210,3572,,274407,256102,238277,35650,17825,
2021-01-21,10968,6850,4091,,285375,262936,241020,43832,21916,
2021-01-22,9037,4320,4698,,294412,267219,240607,53224,26612,
2021-01-23,7447,3031,4388,,301859,270220,239221,61998,30999,
2021-01-24,4381,1825,2536,,306240,272027,238492,67070,33535,
2021-01-25,5318,1046,4263,,311558,273041,235244,75594,37797,
2021-01-26,9382,2859,6495,,320940,275868,231577,88582,44291,
2021-01-27,9893,2861,7004,,330833,278700,227406,102588,51294,
2021-01-28,13107,5732,7333,,343940,284399,225772,117254,58627,
2021-01-29,10684,3271,7379,,354624,287639,221634,132010,66005,
2021-01-30,9185,2726,6422,,363809,290323,217899,144848,72424,
2021-01-31,3372,1560,1767,,367181,291849,217659,148380,74190,
2021-02-01,2121,484,1609,,369302,292299,216504,151590,75795,
2021-02-02,4405,1352,2995,,373707,293613,214827,157572,78786,
2021-02-03,6232,1712,4458,,379939,295284,212047,166474,83237,
2021-02-04,9073,1705,7289,,389012,296946,206426,181040,90520,
2021-02-05,8439,1465,6903,,397451,298371,200954,194834,97417,
2021-02-06,10656,1862,8735,,408107,300178,194035,212286,106143,
2021-02-07,7569,1725,5796,,415676,301863,189936,223854,111927,
2021-02-08,8215,3093,5080,,423891,304908,187914,233988,116994,
2021-02-09,14997,3851,11079,,438888,308717,180660,256114,128057,
2021-02-10,15502,4924,10518,,454390,313589,175039,277100,138550,
2021-02-11,16359,3896,12407,,470749,317433,166507,301852,150926,
2021-02-12,17649,2094,15505,,488398,319489,153077,332824,166412,
