,Province,Date,Cases,Deaths,Hospitalizations,ICU,Tests Completed
0,AB,2023-04-03,630444.0,5643.0,465.0,25.0,7441975.0
1,BC,2023-04-03,397659.0,5339.0,294.0,19.0,6328622.0
2,MB,2023-04-03,155145.0,2470.0,291.0,5.0,1593487.0
3,NB,2023-04-03,90139.0,744.0,40.0,0.0,944341.0
4,NL,2023-04-03,54974.0,339.0,3.0,0.0,740895.0
5,NS,2023-04-03,83719.0,820.0,44.0,8.0,2109809.0
6,NT,2023-04-03,11508.0,22.0,0.0,0.0,42727.0
7,NU,2023-04-03,3531.0,7.0,0.0,0.0,44791.0
8,ON,2023-04-03,1605818.0,16351.0,747.0,68.0,25875550.0
9,PE,2023-04-03,56846.0,96.0,10.0,1.0,265987.0
10,QC,2023-04-03,1320517.0,18181.0,1190.0,31.0,19339333.0
11,SK,2023-04-03,153246.0,1847.0,147.0,5.0,1716043.0
12,YT,2023-04-03,5588.0,32.0,0.0,0.0,33664.0
